Id,ExperimentStartDate,ExperimentStartTime,ExperimentEndDate,ExperimentEndTime,Device,group
E013,03/12/2023,14:57,05/01/2024,19:00,novastudy_034@labs.hevra.haifa.ac.il,EXP
E014,03/12/2023,14:40,07/01/2024,12:50,novastudy_041@labs.hevra.haifa.ac.il,EXP
E015,03/12/2023,14:40,04/01/2024,16:10,novastudy_048@labs.hevra.haifa.ac.il,EXP
E016,03/12/2023,15:32,03/01/2024,21:50,novastudy_026@labs.hevra.haifa.ac.il,EXP
E017,03/12/2023,15:10,08/01/2024,19:15,novastudy_070@labs.hevra.haifa.ac.il,EXP
E018,03/12/2023,15:36,27/12/2023,21:00,novastudy_053@labs.hevra.haifa.ac.il,EXP
E019,03/12/2023,15:35,03/01/2024,12:00,novastudy_047@labs.hevra.haifa.ac.il,EXP
E020,03/12/2023,14:45,03/01/2024,15:30,novastudy_061@labs.hevra.haifa.ac.il,EXP
E021,03/12/2023,15:45,03/01/2024,15:00,novastudy_023@labs.hevra.haifa.ac.il,EXP
E022,03/12/2023,15:28,07/01/2024,08:50,novastudy_050@labs.hevra.haifa.ac.il,EXP
E023,03/12/2023,16:18,11/01/2024,10:40,novastudy_030@labs.hevra.haifa.ac.il,EXP
E024,03/12/2023,17:03,03/01/2024,12:00,novastudy_064@labs.hevra.haifa.ac.il,EXP
E025,03/12/2023,16:40,05/01/2024,11:00,novastudy_032@labs.hevra.haifa.ac.il,EXP
E026,03/12/2023,16:50,11/01/2024,12:40,novastudy_052@labs.hevra.haifa.ac.il,EXP
E027,03/12/2023,17:15,04/01/2024,17:45,novastudy_059@labs.hevra.haifa.ac.il,EXP
E028,03/12/2023,17:25,04/01/2024,08:40,novastudy_057@labs.hevra.haifa.ac.il,EXP
E029,03/12/2023,17:50,10/01/2024,14:20,novastudy_049@labs.hevra.haifa.ac.il,EXP
E030,03/12/2023,18:17,03/01/2024,15:15,novastudy_035@labs.hevra.haifa.ac.il,EXP
E031,03/12/2023,19:38,04/01/2024,11:00,novastudy_039@labs.hevra.haifa.ac.il,EXP
E032,03/12/2023,18:39,12/12/2023,17:00,novastudy_080@labs.hevra.haifa.ac.il,EXP
E033,03/12/2023,19:10,03/01/2024,09:00,novastudy_031@labs.hevra.haifa.ac.il,EXP
E034,03/12/2023,19:20,03/01/2024,12:00,novastudy_028@labs.hevra.haifa.ac.il,EXP
E035,05/12/2023,15:45,05/01/2024,11:00,novastudy_055@labs.hevra.haifa.ac.il,EXP
E036,05/12/2023,17:50,10/01/2024,09:00,novastudy_024@labs.hevra.haifa.ac.il,EXP
E037,05/12/2023,15:45,06/12/2023,16:00,novastudy_036@labs.hevra.haifa.ac.il,EXP
E038,05/12/2023,17:50,07/01/2024,12:00,novastudy_083@labs.hevra.haifa.ac.il,EXP
E039,05/12/2023,17:41,04/01/2024,14:30,novastudy_079@labs.hevra.haifa.ac.il,EXP
E041,05/12/2023,19:04,07/01/2024,16:00,novastudy_069@labs.hevra.haifa.ac.il,EXP
E042,05/12/2023,17:50,15/02/2024,14:35,novastudy_062@labs.hevra.haifa.ac.il,EXP
E043,05/12/2023,18:10,07/01/2024,16:00,novastudy_088@labs.hevra.haifa.ac.il,EXP
E044,06/12/2023,14:15,07/01/2024,08:15,novastudy_065@labs.hevra.haifa.ac.il,EXP
E045,06/12/2023,14:34,06/01/2024,10:15,novastudy_027@labs.hevra.haifa.ac.il,EXP
E046,06/12/2023,14:45,06/01/2024,13:00,novastudy_044@labs.hevra.haifa.ac.il,EXP
E047,06/12/2023,14:50,07/01/2024,21:05,novastudy_029@labs.hevra.haifa.ac.il,EXP
E048,06/12/2023,17:07,05/01/2024,18:10,novastudy_056@labs.hevra.haifa.ac.il,EXP
E049,06/12/2023,17:20,06/01/2024,09:35,novastudy_045@labs.hevra.haifa.ac.il,EXP
E050,06/12/2023,17:15,06/01/2024,16:00,novastudy_036@labs.hevra.haifa.ac.il,EXP
E051,06/12/2023,17:55,06/01/2024,23:00,novastudy_085@labs.hevra.haifa.ac.il,EXP
E052,06/12/2023,18:05,07/01/2024,21:40,novastudy_022@labs.hevra.haifa.ac.il,EXP
E054,06/12/2023,18:06,06/01/2024,20:20,novastudy_046@labs.hevra.haifa.ac.il,EXP
E055,07/12/2023,14:52,08/01/2024,11:15,novastudy_087@labs.hevra.haifa.ac.il,EXP
E056,07/12/2023,14:58,07/01/2024,12:00,novastudy_072@labs.hevra.haifa.ac.il,EXP
E057,07/12/2023,15:05,05/01/2024,12:00,novastudy_073@labs.hevra.haifa.ac.il,EXP
E058,07/12/2023,14:55,09/01/2024,14:00,novastudy_082@labs.hevra.haifa.ac.il,EXP
E059,07/12/2023,15:25,11/01/2024,07:20,novastudy_043@labs.hevra.haifa.ac.il,EXP
E060,07/12/2023,15:18,10/01/2024,02:30,novastudy_076@labs.hevra.haifa.ac.il,EXP
E061,07/12/2023,16:16,05/01/2024,20:00,novastudy_021@labs.hevra.haifa.ac.il,EXP
E062,07/12/2023,16:35,15/01/2024,15:20,novastudy_081@labs.hevra.haifa.ac.il,EXP
E063,07/12/2023,17:19,07/01/2024,12:00,novastudy_074@labs.hevra.haifa.ac.il,EXP
E064,07/12/2023,17:56,08/01/2024,19:30,novastudy_075@labs.hevra.haifa.ac.il,EXP
E065,07/12/2023,19:33,07/01/2024,08:35,novastudy_078@labs.hevra.haifa.ac.il,EXP
E066,07/12/2023,19:25,10/01/2024,10:00,novastudy_060@labs.hevra.haifa.ac.il,EXP
E067,10/12/2023,15:55,10/01/2024,12:02,novastudy_086@labs.hevra.haifa.ac.il,EXP
E068,10/12/2023,16:50,11/01/2024,08:45,novastudy_054@labs.hevra.haifa.ac.il,EXP
E069,10/12/2023,17:10,10/01/2024,11:00,novastudy_009@labs.hevra.haifa.ac.il,EXP
E070,14/12/2023,14:30,16/01/2024,19:55,novastudy_101@labs.hevra.haifa.ac.il,EXP
E071,14/12/2023,15:00,21/01/2024,12:00,novastudy_102@labs.hevra.haifa.ac.il,EXP
E072,14/12/2023,15:19,10/01/2024,13:15,novastudy_100@labs.hevra.haifa.ac.il,EXP
E073,14/12/2023,15:35,14/01/2024,17:00,novastudy_107@labs.hevra.haifa.ac.il,EXP
E074,14/12/2023,15:36,18/01/2024,00:30,novastudy_033@labs.hevra.haifa.ac.il,EXP
E075,14/12/2023,15:39,10/01/2024,07:40,novastudy_042@labs.hevra.haifa.ac.il,EXP
E076,14/12/2023,16:00,17/01/2024,20:10,novastudy_104@labs.hevra.haifa.ac.il,EXP
E077,14/12/2023,15:35,18/01/2024,07:00,novastudy_063@labs.hevra.haifa.ac.il,EXP
E078,14/12/2023,15:55,09/01/2024,10:50,novastudy_067@labs.hevra.haifa.ac.il,EXP
E079,14/12/2023,15:56,15/01/2024,12:00,novastudy_077@labs.hevra.haifa.ac.il,EXP
E080,14/12/2023,16:09,15/01/2024,10:00,novastudy_038@labs.hevra.haifa.ac.il,EXP
E081,14/12/2023,16:32,15/01/2024,13:30,novastudy_099@labs.hevra.haifa.ac.il,EXP
E082,14/12/2023,16:33,15/01/2024,14:00,novastudy_025@labs.hevra.haifa.ac.il,EXP
E083,14/12/2023,16:35,15/01/2024,18:55,novastudy_108@labs.hevra.haifa.ac.il,EXP
E084,14/12/2023,16:50,21/01/2024,18:20,novastudy_071@labs.hevra.haifa.ac.il,EXP
E085,14/12/2023,17:41,18/01/2024,10:25,novastudy_058@labs.hevra.haifa.ac.il,EXP
E086,14/12/2023,17:15,16/01/2024,19:25,novastudy_109@labs.hevra.haifa.ac.il,EXP
E087,14/12/2023,17:10,18/01/2024,12:00,novastudy_040@labs.hevra.haifa.ac.il,EXP
E088,14/12/2023,17:50,15/01/2024,16:00,novastudy_096@labs.hevra.haifa.ac.il,EXP
E089,14/12/2023,17:09,05/01/2024,19:10,novastudy_095@labs.hevra.haifa.ac.il,EXP
E090,14/12/2023,17:48,22/01/2024,16:45,novastudy_110@labs.hevra.haifa.ac.il,EXP
E091,14/12/2023,17:26,16/01/2024,22:50,novastudy_066@labs.hevra.haifa.ac.il,EXP
E092,14/12/2023,18:05,16/01/2024,18:55,novastudy_068@labs.hevra.haifa.ac.il,EXP
E093,24/12/2023,17:46,26/01/2024,11:30,novastudy_051@labs.hevra.haifa.ac.il,EXP
