,DateAndMinute,StepsInMinute
2417,2024-02-01 18:10:00,0
2418,2024-02-01 18:11:00,0
2419,2024-02-01 18:12:00,0
2420,2024-02-01 18:14:00,0
2421,2024-02-01 18:17:00,0
2422,2024-02-01 18:18:00,0
2423,2024-02-01 18:26:00,0
2424,2024-02-01 18:27:00,0
2425,2024-02-01 18:29:00,0
2426,2024-02-01 18:30:00,45
2427,2024-02-01 18:31:00,0
2428,2024-02-01 18:32:00,74
2429,2024-02-01 18:33:00,71
2430,2024-02-01 18:34:00,0
2431,2024-02-01 18:35:00,0
2432,2024-02-01 18:37:00,0
2433,2024-02-01 18:38:00,0
2434,2024-02-01 18:39:00,0
2435,2024-02-01 18:41:00,0
2436,2024-02-01 18:42:00,0
2437,2024-02-01 18:43:00,0
2438,2024-02-01 18:44:00,8
2439,2024-02-01 18:45:00,0
2440,2024-02-01 18:47:00,0
2441,2024-02-01 18:50:00,0
2442,2024-02-01 18:52:00,0
2443,2024-02-01 18:53:00,0
2444,2024-02-01 18:55:00,0
2445,2024-02-01 18:56:00,0
2446,2024-02-01 18:57:00,0
2447,2024-02-01 18:58:00,0
2448,2024-02-01 18:59:00,0
2449,2024-02-01 19:00:00,0
2450,2024-02-01 19:01:00,0
2451,2024-02-01 19:02:00,0
2452,2024-02-01 19:03:00,0
2453,2024-02-01 19:04:00,0
2454,2024-02-01 19:06:00,0
2455,2024-02-01 19:08:00,0
2456,2024-02-01 19:09:00,0
2457,2024-02-01 19:10:00,0
2458,2024-02-01 19:11:00,0
2459,2024-02-01 19:12:00,0
2460,2024-02-01 19:13:00,18
2461,2024-02-01 19:14:00,60
2462,2024-02-01 19:15:00,0
2463,2024-02-01 19:16:00,7
2464,2024-02-01 19:17:00,0
2465,2024-02-01 19:18:00,7
2466,2024-02-01 19:21:00,22
2467,2024-02-01 19:22:00,0
2468,2024-02-01 19:23:00,0
2469,2024-02-01 19:24:00,0
2470,2024-02-01 19:26:00,0
2471,2024-02-01 19:27:00,21
2472,2024-02-01 19:28:00,0
2473,2024-02-01 19:29:00,15
2474,2024-02-01 19:30:00,0
2475,2024-02-01 19:31:00,28
2476,2024-02-01 19:32:00,0
2477,2024-02-01 19:33:00,48
2478,2024-02-01 19:34:00,0
2479,2024-02-01 19:35:00,0
2480,2024-02-01 19:36:00,0
2481,2024-02-01 19:37:00,0
2482,2024-02-01 19:38:00,0
2483,2024-02-01 19:39:00,0
2484,2024-02-01 19:40:00,14
2485,2024-02-01 19:41:00,15
2486,2024-02-01 19:42:00,0
2487,2024-02-01 19:43:00,11
2488,2024-02-01 19:44:00,0
2489,2024-02-01 19:45:00,13
2490,2024-02-01 19:46:00,0
2491,2024-02-01 19:47:00,5
2492,2024-02-01 19:48:00,22
2493,2024-02-01 19:49:00,0
2494,2024-02-01 19:50:00,0
2495,2024-02-01 19:51:00,0
2496,2024-02-01 19:52:00,0
2497,2024-02-01 19:53:00,0
2498,2024-02-01 19:54:00,0
2499,2024-02-01 19:55:00,0
2500,2024-02-01 19:56:00,0
2501,2024-02-01 19:57:00,6
2502,2024-02-01 19:58:00,0
2503,2024-02-01 19:59:00,0
2504,2024-02-01 20:00:00,0
2505,2024-02-01 20:01:00,23
2506,2024-02-01 20:02:00,0
