Id,ExperimentStartDate,ExperimentStartTime,ExperimentEndDate,ExperimentEndTime,Device,group
example__subject_013,03/12/2023,14:57,05/01/2024,19:00,novastudy_034@labs.hevra.haifa.ac.il,EXP
example__subject_014,03/12/2023,14:40,07/01/2024,12:50,novastudy_041@labs.hevra.haifa.ac.il,EXP
example__subject_015,03/12/2023,14:40,04/01/2024,16:10,novastudy_048@labs.hevra.haifa.ac.il,EXP
example__subject_016,03/12/2023,15:32,03/01/2024,21:50,novastudy_026@labs.hevra.haifa.ac.il,EXP
example__subject_017,03/12/2023,15:10,08/01/2024,19:15,novastudy_070@labs.hevra.haifa.ac.il,EXP
example__subject_018,03/12/2023,15:36,27/12/2023,21:00,novastudy_053@labs.hevra.haifa.ac.il,EXP
example__subject_019,03/12/2023,15:35,03/01/2024,12:00,novastudy_047@labs.hevra.haifa.ac.il,EXP
example__subject_020,03/12/2023,14:45,03/01/2024,15:30,novastudy_061@labs.hevra.haifa.ac.il,EXP
example__subject_021,03/12/2023,15:45,03/01/2024,15:00,novastudy_023@labs.hevra.haifa.ac.il,EXP
example__subject_022,03/12/2023,15:28,07/01/2024,08:50,novastudy_050@labs.hevra.haifa.ac.il,EXP
example__subject_023,03/12/2023,16:18,11/01/2024,10:40,novastudy_030@labs.hevra.haifa.ac.il,EXP
example__subject_024,03/12/2023,17:03,03/01/2024,12:00,novastudy_064@labs.hevra.haifa.ac.il,EXP
example__subject_025,03/12/2023,16:40,05/01/2024,11:00,novastudy_032@labs.hevra.haifa.ac.il,EXP
example__subject_026,03/12/2023,16:50,11/01/2024,12:40,novastudy_052@labs.hevra.haifa.ac.il,EXP
example__subject_027,03/12/2023,17:15,04/01/2024,17:45,novastudy_059@labs.hevra.haifa.ac.il,EXP
example__subject_028,03/12/2023,17:25,04/01/2024,08:40,novastudy_057@labs.hevra.haifa.ac.il,EXP
example__subject_029,03/12/2023,17:50,10/01/2024,14:20,novastudy_049@labs.hevra.haifa.ac.il,EXP
example__subject_030,03/12/2023,18:17,03/01/2024,15:15,novastudy_035@labs.hevra.haifa.ac.il,EXP
example__subject_031,03/12/2023,19:38,04/01/2024,11:00,novastudy_039@labs.hevra.haifa.ac.il,EXP
example__subject_032,03/12/2023,18:39,12/12/2023,17:00,novastudy_080@labs.hevra.haifa.ac.il,EXP
example__subject_033,03/12/2023,19:10,03/01/2024,09:00,novastudy_031@labs.hevra.haifa.ac.il,EXP
example__subject_034,03/12/2023,19:20,03/01/2024,12:00,novastudy_028@labs.hevra.haifa.ac.il,EXP
example__subject_035,05/12/2023,15:45,05/01/2024,11:00,novastudy_055@labs.hevra.haifa.ac.il,EXP
example__subject_036,05/12/2023,17:50,10/01/2024,09:00,novastudy_024@labs.hevra.haifa.ac.il,EXP
example__subject_037,05/12/2023,15:45,06/12/2023,16:00,novastudy_036@labs.hevra.haifa.ac.il,EXP
example__subject_038,05/12/2023,17:50,07/01/2024,12:00,novastudy_083@labs.hevra.haifa.ac.il,EXP
example__subject_039,05/12/2023,17:41,04/01/2024,14:30,novastudy_079@labs.hevra.haifa.ac.il,EXP
example__subject_041,05/12/2023,19:04,07/01/2024,16:00,novastudy_069@labs.hevra.haifa.ac.il,EXP
example__subject_042,05/12/2023,17:50,15/02/2024,14:35,novastudy_062@labs.hevra.haifa.ac.il,EXP
example__subject_043,05/12/2023,18:10,07/01/2024,16:00,novastudy_088@labs.hevra.haifa.ac.il,EXP
example__subject_044,06/12/2023,14:15,07/01/2024,08:15,novastudy_065@labs.hevra.haifa.ac.il,EXP
