Feature,Type,Description,Proccess,File,Source Code Lines,Page
BpmMean,Float,Weighted-mean valid Bpm value. ,"The value of each minute that has  valid samples (before Bfill) that are higher than a threshold /n   OR /n more valid samples (after Bfill), that higher then a threshold.",{subject} Heart Rate and Steps and Sleep Aggregated.csv,,Combine step
BpmMean�,Float,Weighted-mean valid Bpm value. ,"The value of each minute that has  valid samples (before Bfill) that are higher than a threshold /n   OR /n more valid samples (after Bfill), that higher then a threshold.",{subject} Heart Rate.csv,,Preprocess
Efficiency (Fitbit Calculation),Int,We are not have information about the way that fitbit defined this feature.,"Obtained directly from the ""efficiency"" field in the sleep JSON data",Sleep All Subjects.csv,188,Extract Sleep
Mode�,String,"unused column, specify If there is a valid value in this minute after applying the filters.",Unknown' if we not have any valid sample after filtering the seconds in this minute.,{subject} Heart Rate.csv,,Preprocess
not_in_IL,Bool,"True if the subject was out of Israel in this date based on not_in_israel.csv file (TRUE = subject is not in israel). Not including ""cyprus"". Note that all calculations of aggregated matrices do not include not_in_israel = TRUE",,,,Extract Sleep
is_dst_change,Bool,True if the current date defined as dst change for Israel timezone. Note that all calculations of aggregated matrices do not include dst_change= TRUE,,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,Combine step
is_dst_change,Bool,True if the current date defined as dst change for Israel timezone. Note that all calculations of aggregated matrices do not include dst_change= TRUE,,Sleep All Subjects.csv,,Extract Sleep
Weekend,Bool,"TRUE for minutes within a weekend and FALSE for weekdays. Weekend is defined between end of sleep (wake up time) of Friday morning until Sunday morning wakeup time. In case of missing sleep data, average sleep endtime is used to define the start\end of the weekend. ","True if the row is identified as a weekend by this logic: /n 1. First, the code looks to Thursday in the date range of the experiment. /n 2. If there is valid sleep data from this date, if there is valid sleep data on Saturday, then: /n - Weekend starts at the end of Thursday's sleep and ends at the end of Saturday's sleep. /n 3. If there is valid sleep data from this date, if there is no valid sleep data on Saturday, then: /n The weekend starts at the end of Thursday's sleep and ends on Sunday at the subject's mean sleep end time. /n 4. If there is no valid sleep data for this date, if there is valid sleep data for Sathurday then: /n The weekend starts on Thursday at the time of the mean end of sleep of this subject and ends at the end of Saturday's sleep. /n 5. If there is no valid sleep data for this date and there is no valid sleep data for Sathurday then: /n -  Weekend starts on Thursday at the time of the mean end sleep of this subject and /n end on Sunday at the mean sleep end time of the subject /n",{subject} Heart Rate and Steps and Sleep Aggregated.csv,,Combine step
SumOfSleepValidSleeps,Int,Total number of minutes considered as valid sleeps ,The Sum of minutes from the start sleep start time to the end time. Suppose the function's parameter excludes specific days without those days.,Sleep Daily Details�(Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
SumOfSleepValidSleeps,Int,Total number of minutes considered as valid sleeps ,The Sum of minutes from the start sleep start time to the end time. Suppose the function's parameter excludes specific days without those days.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
