Feature,Type,Description,Proccess,File,Source Code Lines,Page
Id,String,Unique Identifier for each subject.,Iterating through each subject in the subjects dates csv file,Sleep All Subjects.csv,329,Extract Sleep
DayOfExperiment†,Int,Number of days from the start of the experiment (from 1).,For each unique date of 'DateOfSleepEvening' column a consecutive rank value is assigned.,Sleep All Subjects.csv,271,Extract Sleep
ExperimentDates†,Date,Date of the experiment day.,A date range array is created from the start date to the end date from the Subject Dates file. Include Not in Israel dates.,Sleep All Subjects.csv,258,Extract Sleep
DateOfSleepEvening†,Date,The date when the subject was a sleep.,The Date of the sleep,Sleep All Subjects.csv,,Extract Sleep
WeekdayOfSleepEvening,String,The day in the week where the sleep occur.,The day in the week by the date of sleep evening column.,Sleep All Subjects.csv,252,Extract Sleep
SleepStartTime,datetime,The datetime value of the minute where the subject fall a sleep.,BedStartTime (by fitbit) - MinutesToFallASleep,Sleep All Subjects.csv,228,Extract Sleep
SleepEndTime,datetime,The datetime value of the minute where the subject woke up.,BedEndTime (by fitbit) - MinutesInBedAfterWakeup,Sleep All Subjects.csv,230,Extract Sleep
BedStartTime,datetime,The datetime when the subject got to bed (by fitbit),The bed start time value from the sleep json file.,Sleep All Subjects.csv,214,Extract Sleep
BedEndTime,datetime,The datetime when the subject got out of bed (by fitbit),The bed end time value from the sleep json file.,Sleep All Subjects.csv,214,Extract Sleep
ValidSleep,Bool,Is this sleep identified as a valid sleep or not,,Sleep All Subjects.csv,,Extract Sleep
MainSleep(fibit Calculation),Bool,The value of the main sleep,,Sleep All Subjects.csv,,Extract Sleep
SleepTimeInMinutes (our Calculation: SleepEndTime-SleepStartTime),Float,Number of minutes between sleep start time to sleep end time.,The total seconds in the interval (SleepEndTime - SleepStartTime) are divided by 60.,Sleep All Subjects.csv,315,Extract Sleep
SleepTimeInMinutes (Fitbit Calculation),Int,The value of the sleep time in minutes by fitbit.,The value of sleep time in minutes by the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
Sleep Efficiency (SE SleepTimeInMinutes/MinutesInBed Ratio),Float,An index that representing the efficiency of the sleep as we defined.,(The value of sleep time in minutes as we defined - minutes awake,Sleep All Subjects.csv,,Extract Sleep
Efficiency (Fitbit Calculation),Int,We are not have information about the way that fitbit defined this feature.,The value of efficiency by the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
